PID,AdoptionSpeed
1,2
2,4
7,2
9,2
11,2
12,4
25,1
33,2
34,2
35,2
43,2
50,2
51,2
52,4
53,4
55,4
62,4
67,2
69,2
70,2
73,2
74,4
75,4
76,2
80,2
86,4
88,4
91,3
92,4
94,2
104,2
107,2
112,2
113,2
115,1
116,3
118,1
120,4
121,1
126,1
127,2
134,1
137,2
139,2
140,4
150,2
154,4
157,2
159,4
165,3
178,2
182,2
183,2
186,4
191,2
192,4
196,4
197,2
198,1
199,2
203,2
214,2
217,2
219,2
226,4
228,2
230,4
235,3
240,2
241,3
242,2
245,2
247,2
248,3
249,3
252,2
256,2
261,2
264,1
265,2
267,2
270,2
271,4
272,4
273,4
276,4
278,4
279,2
280,4
292,2
296,4
304,4
305,2
308,2
313,2
314,4
321,1
324,2
325,2
331,3
336,2
337,1
351,2
358,2
364,4
366,4
367,1
376,2
378,4
383,3
384,2
385,4
388,2
389,2
390,2
393,2
395,2
396,4
398,2
399,2
401,2
403,2
405,2
408,4
411,2
412,2
419,4
420,2
421,2
427,3
431,4
435,1
437,2
438,4
441,4
444,2
445,2
446,2
447,3
450,1
453,2
462,2
464,2
467,2
469,3
471,2
473,3
475,2
478,2
485,2
488,3
489,4
498,3
499,2
503,4
506,2
507,2
508,1
509,2
512,2
513,2
517,4
518,2
522,2
523,2
524,2
529,2
530,4
531,4
532,2
534,2
535,4
536,2
540,2
549,2
551,4
554,2
558,1
560,3
568,4
571,2
574,2
575,1
577,2
581,2
594,2
611,1
614,2
615,2
618,2
619,1
627,2
630,2
631,2
645,4
648,4
653,2
661,2
671,2
675,2
678,3
679,2
680,2
684,4
688,2
705,4
707,2
710,4
715,4
716,2
717,2
719,2
720,2
723,2
725,1
727,2
731,2
735,2
737,2
742,2
745,1
748,2
751,4
755,2
758,2
759,4
763,1
766,2
767,2
769,2
771,2
774,4
777,2
778,4
785,2
789,2
795,2
796,2
799,2
800,2
805,4
806,2
807,2
810,4
811,4
813,2
814,2
820,3
825,4
828,2
836,1
843,1
847,2
851,2
853,2
860,2
868,3
869,2
876,2
884,2
890,2
891,2
892,3
897,2
905,2
906,4
917,2
918,4
920,4
922,2
923,2
931,2
932,3
937,2
943,4
947,4
948,2
953,1
959,2
966,4
971,2
972,3
981,2
984,4
989,4
990,2
996,3
998,4
1002,2
1003,4
1004,4
1007,2
1011,1
1012,4
1014,1
1015,1
1018,2
1022,2
1023,3
1024,4
1026,4
1027,2
1029,2
1037,1
1041,4
1044,2
1048,2
1050,1
1052,2
1053,2
1054,2
1056,4
1060,2
1061,4
1062,1
1065,2
1074,4
1079,2
1080,2
1083,2
1084,4
1088,4
1090,4
1098,2
1101,3
1102,4
1103,3
1104,3
1107,3
1110,4
1117,4
1120,2
1121,1
1122,3
1123,3
1130,2
1136,2
1140,2
1145,4
1146,4
1148,2
1149,3
1150,2
1151,4
1155,2
1157,2
1158,2
1160,4
1163,2
1165,1
1166,1
1171,4
1176,4
1178,2
1180,2
1183,1
1185,4
1189,2
1195,1
1196,4
1197,4
1198,2
1200,2
1205,1
1209,3
1213,1
1220,4
1223,2
1228,1
1230,2
1236,3
1238,4
1240,2
1241,4
1242,2
1243,4
1244,2
1248,2
1250,2
1261,2
1271,4
1272,2
1277,3
1281,2
1294,2
1299,2
1301,2
1304,2
1305,4
1306,2
1307,2
1309,2
1311,4
1313,4
1317,3
1322,2
1324,1
1327,2
1331,4
1333,1
1334,2
1342,2
1343,1
1344,4
1348,2
1350,1
1353,2
1355,2
1356,2
1360,1
1364,4
1366,2
1367,4
1370,2
1372,4
1375,2
1382,2
1386,4
1388,2
1395,2
1399,2
1403,2
1406,2
1407,2
1409,3
1415,2
1419,4
1424,4
1425,2
1427,4
1429,2
1437,4
1440,4
1444,3
1447,4
1448,2
1452,2
1455,2
1464,1
1466,2
1468,2
1469,2
1471,2
1472,2
1476,4
1477,2
1478,3
1480,4
1499,4
1509,2
1510,2
1511,2
1512,4
1517,2
1519,4
1521,4
1528,2
1532,4
1540,2
1544,2
1546,2
1550,2
1552,4
1553,2
1558,2
1559,2
1562,3
1564,2
1572,3
1573,4
1584,2
1589,2
1591,2
1594,2
1599,4
1607,1
1610,2
1616,4
1619,4
1623,4
1630,2
1633,4
1634,2
1638,2
1639,2
1641,2
1645,4
1647,4
1648,2
1649,2
1655,2
1662,2
1664,2
1665,2
1667,2
1669,4
1671,2
1672,2
1673,4
1674,2
1681,2
1683,2
1685,2
1686,2
1689,2
1698,4
1700,3
1712,2
1715,2
1718,3
1727,1
1728,2
1735,1
1740,2
1741,4
1742,4
1748,2
1754,4
1755,4
1756,2
1761,1
1766,2
1771,4
1772,4
1773,2
1774,2
1779,2
1781,2
1785,2
1791,3
1796,2
1800,2
1801,2
1805,2
1811,4
1815,2
1817,1
1823,3
1827,2
1828,3
1830,4
1833,4
1834,1
1838,2
1844,2
1848,2
1851,2
1852,2
1853,2
1854,1
1856,2
1858,2
1859,4
1860,4
1864,1
1865,2
1869,4
1870,4
1873,4
1874,2
1881,4
1883,3
1888,2
1889,4
1892,2
1895,2
1899,3
1902,4
1904,2
1906,2
1911,2
1912,1
1915,4
1916,2
1924,3
1935,2
1937,2
1942,2
1943,2
1944,4
1953,2
1954,2
1955,2
1959,3
1962,4
1971,3
1975,2
1978,4
1979,2
1981,1
1986,2
1989,2
1990,4
1994,2
1996,2
2002,4
2005,2
2007,2
2012,1
2017,4
2020,2
2022,3
2026,2
2027,4
2033,2
2040,4
2044,1
2045,2
2047,4
2053,3
2054,4
2062,4
2065,4
2070,2
2073,2
2074,4
2075,2
2078,1
2079,3
2083,2
2088,4
2090,2
2091,4
2095,4
2098,4
2100,1
2104,2
2106,2
2107,3
2109,2
2113,2
2119,3
2120,3
2122,2
2124,2
2128,2
2134,4
2135,2
2137,1
2139,1
2140,2
2142,2
2145,4
2149,1
2152,2
2153,2
2159,2
2163,3
2165,1
2173,1
2175,3
2185,1
2186,1
2187,2
2188,2
2191,2
2197,3
2200,2
2204,2
2205,4
2207,2
2209,2
2210,1
2211,4
2213,2
2214,2
2216,2
2218,2
2220,2
2230,2
2232,2
2233,4
2236,3
2240,2
2243,2
2244,4
2247,1
2251,2
2253,2
2254,3
2260,4
2262,1
2267,3
2274,2
2276,2
2286,2
2300,2
2304,4
2311,1
2313,4
2314,4
2320,2
2321,2
2324,2
2325,2
2326,4
2340,4
2344,3
2351,2
2353,2
2354,2
2356,2
2369,4
2371,4
2377,4
2379,2
2380,2
2381,2
2382,2
2388,3
2394,4
2408,1
2415,3
2422,2
2425,2
2427,4
2429,4
2431,2
2432,4
2434,4
2442,3
2443,3
2451,3
2460,4
2461,0
2471,4
2472,2
2473,2
2475,2
2477,2
2479,2
2481,4
2482,2
2485,2
2487,2
2492,4
2497,3
2498,2
2500,4
2501,2
2503,2
2506,2
2508,2
2509,4
2511,4
2515,1
2519,2
2524,2
2527,4
2529,2
2531,2
2534,1
2535,2
2536,2
2538,4
2539,3
2541,2
2542,2
2552,4
2553,2
2555,2
2560,4
2561,1
2568,4
2569,4
2571,2
2576,4
2581,2
2589,4
2590,2
2591,2
2595,4
2602,4
2608,2
2610,2
2613,2
2618,2
2620,4
2621,4
2623,2
2625,2
2631,3
2634,2
2636,2
2637,4
2638,2
2639,1
2642,2
2646,1
2654,2
2656,4
2657,2
2661,2
2668,2
2672,2
2674,2
2681,2
2694,4
2698,2
2699,4
2701,4
2704,1
2705,4
2710,4
2717,4
2718,0
2720,4
2721,3
2722,2
2730,4
2733,2
2734,4
