Run ID,Name,Source Type,Source Name,User,Status,Dropout,embedded_columns,epochs,hidden_layer_size,numerical_columns,one_hot_columns,accuracy,loss
d3d8234d74354626a74b2dfe8c01184c,,LOCAL,practico_1_train_petfinder.py,mramirez,FINISHED,"[0.1, 0.1]",{'Breed2': 308},10,"[50, 10]","['Age', 'Fee', 'SQAge', 'len_des', 'count_word']","{'Gender': 3, 'Color1': 7, 'Color2': 7, 'Color3': 7, 'Type': 2}",0.35852623,1.442654483458575
7e88d4c5132c47f48394a948b97b45da,,LOCAL,practico_1_train_petfinder.py,mramirez,FINISHED,"[0.1, 0.1]",{'Breed1': 308},10,"[50, 10]","['Age', 'Fee', 'SQAge', 'len_des', 'count_word']","{'Gender': 3, 'Color1': 7, 'Color2': 7, 'Color3': 7, 'Type': 2}",0.3575815,1.4517317449345308
71d9d003a18f42958643796385fd1bfa,,LOCAL,practico_1_train_petfinder.py,mramirez,FINISHED,"[0.1, 0.1]","{'Breed1': 308, 'Breed2': 308}",10,"[50, 10]","['Age', 'Fee', 'SQAge', 'len_des', 'count_word']","{'Color1': 7, 'Color2': 7, 'Color3': 7, 'Type': 2}",0.3613604,1.4957094367812662
892d1396524946f7b800048c1d15431d,,LOCAL,practico_1_train_petfinder.py,mramirez,FINISHED,"[0.1, 0.1]","{'Breed1': 308, 'Breed2': 308}",10,"[50, 10]","['Age', 'Fee', 'SQAge', 'len_des', 'count_word']","{'Gender': 3, 'Color2': 7, 'Color3': 7, 'Type': 2}",0.36088806,1.4539329164168413
430321be18574dbdadb369efd3ab533f,,LOCAL,practico_1_train_petfinder.py,mramirez,FINISHED,"[0.1, 0.1]","{'Breed1': 308, 'Breed2': 308}",10,"[50, 10]","['Age', 'Fee', 'SQAge', 'len_des', 'count_word']","{'Gender': 3, 'Color1': 7, 'Color3': 7, 'Type': 2}",0.35096836,1.459106701261857
640ad95f0b594d2d93f0fd60435167c5,,LOCAL,practico_1_train_petfinder.py,mramirez,FINISHED,"[0.1, 0.1]","{'Breed1': 308, 'Breed2': 308}",10,"[50, 10]","['Age', 'Fee', 'SQAge', 'len_des', 'count_word']","{'Gender': 3, 'Color1': 7, 'Color2': 7, 'Type': 2}",0.35002363,1.467605611857246
007ff481161a494d8218a03b63b88284,,LOCAL,practico_1_train_petfinder.py,mramirez,FINISHED,"[0.1, 0.1]","{'Breed1': 308, 'Breed2': 308}",10,"[50, 10]","['Age', 'Fee', 'SQAge', 'len_des', 'count_word']","{'Gender': 3, 'Color1': 7, 'Color2': 7, 'Color3': 7}",0.35427493,1.4673792474410112
63728a0583774b8199664f62e9d4dedd,,LOCAL,practico_1_train_petfinder.py,mramirez,FAILED,"[0.1, 0.1]","{'Breed1': 308, 'Breed2': 308}",10,"[50, 10]","['Age', 'Fee', 'SQAge', 'len_des', 'count_word']","{'Gender': 3, 'Color1': 7, 'Color2': 7, 'Color3': 7}",,
2edd0366f6cc4c708a1737952f4fdef5,,LOCAL,practico_1_train_petfinder.py,mramirez,FINISHED,"[0.1, 0.1]","{'Breed1': 308, 'Breed2': 308}",10,"[50, 10]","['Fee', 'SQAge', 'len_des', 'count_word']","{'Gender': 3, 'Color1': 7, 'Color2': 7, 'Color3': 7, 'Type': 2}",0.33254606,1.4879718002151041
1458e41fde3f484b8289a5ad3f157103,,LOCAL,practico_1_train_petfinder.py,mramirez,FINISHED,"[0.1, 0.1]","{'Breed1': 308, 'Breed2': 308}",10,"[50, 10]","['Age', 'SQAge', 'len_des', 'count_word']","{'Gender': 3, 'Color1': 7, 'Color2': 7, 'Color3': 7, 'Type': 2}",0.3627775,1.4688137348960428
da1d2530da8e48c49e58c3b8cf8a8d09,,LOCAL,practico_1_train_petfinder.py,mramirez,FINISHED,"[0.1, 0.1]","{'Breed1': 308, 'Breed2': 308}",10,"[50, 10]","['Age', 'Fee', 'len_des', 'count_word']","{'Gender': 3, 'Color1': 7, 'Color2': 7, 'Color3': 7, 'Type': 2}",0.3589986,1.467039497459636
d6eed93d177d452fa4fc918f254eb1b7,,LOCAL,practico_1_train_petfinder.py,mramirez,FINISHED,"[0.1, 0.1]","{'Breed1': 308, 'Breed2': 308}",10,"[50, 10]","['Age', 'Fee', 'SQAge', 'count_word']","{'Gender': 3, 'Color1': 7, 'Color2': 7, 'Color3': 7, 'Type': 2}",0.35521966,1.4660539276459639
85b967633c22496b9d7233519d29c3b3,,LOCAL,practico_1_train_petfinder.py,mramirez,FINISHED,"[0.1, 0.1]","{'Breed1': 308, 'Breed2': 308}",10,"[50, 10]","['Age', 'Fee', 'SQAge', 'len_des']","{'Gender': 3, 'Color1': 7, 'Color2': 7, 'Color3': 7, 'Type': 2}",0.34955126,1.4705868924365324
840331724d4e4add9ab6f5e3147f35c3,,LOCAL,practico_1_train_petfinder.py,mramirez,FINISHED,"[0.1, 0.1]","{'Breed1': 308, 'Breed2': 308}",10,"[50, 10]","['Age', 'Fee', 'SQAge', 'len_des', 'count_word']","{'Gender': 3, 'Color1': 7, 'Color2': 7, 'Color3': 7, 'Type': 2}",0.34955126,1.4737777569714714
